language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.76  T=0.50 s (36.0 files/s, 3510.0 lines/s)"
C/C++ Header,..\BifrostMemory\include\bifrost\memory\bifrost_imemory_manager.hpp,62,218,230
C++,..\BifrostMemory\src\bifrost_freelist_allocator.cpp,24,30,105
C/C++ Header,..\BifrostMemory\include\bifrost\memory\bifrost_stl_allocator.hpp,16,21,83
C/C++ Header,..\BifrostMemory\include\bifrost\memory\bifrost_pool_allocator.hpp,18,16,81
C++,..\BifrostMemory\src\bifrost_imemory_manager.cpp,17,13,66
C++,..\BifrostMemory\src\bifrost_pool_allocator.cpp,16,15,52
C++,..\BifrostMemory\src\bifrost_linear_allocator.cpp,11,17,50
C/C++ Header,..\BifrostMemory\include\bifrost\memory\bifrost_linear_allocator.hpp,16,15,43
C++,..\BifrostMemory\src\bifrost_stack_allocator.cpp,13,15,43
C/C++ Header,..\BifrostMemory\include\bifrost\memory\bifrost_freelist_allocator.hpp,11,21,33
CMake,..\BifrostMemory\CMakeLists.txt,9,7,33
C/C++ Header,..\BifrostMemory\include\bifrost\memory\bifrost_proxy_allocator.hpp,10,14,31
C,..\BifrostMemory\src\bifrost_memory_utils.c,13,12,29
C++,..\BifrostMemory\src\bifrost_proxy_allocator.cpp,6,15,28
C/C++ Header,..\BifrostMemory\include\bifrost\memory\bifrost_stack_allocator.hpp,7,15,27
C++,..\BifrostMemory\src\bifrost_c_allocator.cpp,4,14,21
C/C++ Header,..\BifrostMemory\include\bifrost\memory\bifrost_memory_utils.h,7,29,17
C/C++ Header,..\BifrostMemory\include\bifrost\memory\bifrost_c_allocator.hpp,5,15,16
